代码,名称,收盘价,市盈率,市净率,净资产收益率,总股本,流通股本,上市时间
600062.XSHG,华润双鹤,17.32,1792,1792,1792,724470625,571695898,1997-05-22
600063.XSHG,皖维高新,5.09,1793,1793,1793,1645894687,1497853281,1997-05-28
600064.XSHG,南京高科,15.47,1794,1794,1794,772473125,772473125,1997-05-06
600066.XSHG,宇通客车,19.94,1795,1795,1795,2213939218,1903484218,1997-05-08
600067.XSHG,冠城大通,6.75,1796,1796,1796,1487794687,1487794687,1997-05-08
600068.XSHG,葛洲坝,5.99,1797,1797,1797,4604777500,4148576250,1997-05-26
600069.XSHG,*ST银鸽,4.38,1798,1798,1798,1249102968,825374062,1997-04-30
600070.XSHG,浙江富润,13.13,1799,1799,1799,356613085,356613085,1997-06-04
600071.XSHG,凤凰光学,25.47,1800,1800,1800,237472500,237472500,1997-05-28
600072.XSHG,钢构工程,16.32,1801,1801,1801,478429609,478429609,1997-06-03
600073.XSHG,上海梅林,9.99,1802,1802,1802,937729531,937729531,1997-07-04
600074.XSHG,保千里,15.35,1803,1803,1803,2305800000,895981328,1997-06-23
600075.XSHG,新疆天业,9.92,1804,1804,1804,438591992,438591992,1997-06-17
600076.XSHG,康欣新材,9.95,1805,1805,1805,1034264062,365536015,1997-05-26
600077.XSHG,宋都股份,5.17,1806,1806,1806,1340122343,1340122343,1997-05-20
600078.XSHG,澄星股份,6.71,1807,1807,1807,662572890,662572890,1997-06-27
600079.XSHG,人福医药,17.34,1808,1808,1808,1286049062,1030993203,1997-06-06
600080.XSHG,金花股份,11.6,1809,1809,1809,305295898,305295898,1997-06-12
600081.XSHG,东风科技,17.71,1810,1810,1810,313560000,313560000,1997-07-03
600082.XSHG,海泰发展,6.2,1811,1811,1811,646115781,632424804,1997-06-20
600083.XSHG,博信股份,21.72,1812,1812,1812,230000000,226922792,1997-06-06
600084.XSHG,中葡股份,6.14,1813,1813,1813,1123726796,998203828,1997-07-11
600085.XSHG,同仁堂,28.93,1814,1814,1814,1371470312,1371470312,1997-06-25
600086.XSHG,东方金钰,9.76,1815,1815,1815,1350000000,1056845000,1997-06-06
600088.XSHG,中视传媒,22.02,1816,1816,1816,331421992,331421992,1997-06-16
600089.XSHG,特变电工,9.26,1817,1817,1817,3245380937,3178124375,1997-06-18
600090.XSHG,啤酒花,12.45,1818,1818,1818,367916601,367916601,1997-06-16
600091.XSHG,*ST明科,11.04,1819,1819,1819,437412500,336526015,1997-07-04
600093.XSHG,禾嘉股份,12.93,1820,1820,1820,1122447500,322447500,1997-06-26
600094.XSHG,大名城,7.53,1821,1821,1821,2011556875,2011556875,1997-07-03
600095.XSHG,哈高科,9,1822,1822,1822,361263593,361263593,1997-07-08
600096.XSHG,云天化,10.01,1823,1823,1823,1328327343,521275585,1997-07-09
600097.XSHG,开创国际,17.55,1824,1824,1824,202597890,202597890,1997-06-19
600098.XSHG,广州发展,8.48,1825,1825,1825,2726196562,2726196562,1997-07-18
600099.XSHG,林海股份,10.59,1826,1826,1826,219120000,219120000,1997-07-04
600100.XSHG,同方股份,12.51,1827,1827,1827,2963899062,2070201406,1997-06-27
600101.XSHG,明星电力,11.53,1828,1828,1828,324179003,324179003,1997-06-27
600103.XSHG,青山纸业,5.27,1829,1829,1829,1061841562,1061841562,1997-07-03
600104.XSHG,上汽集团,19.87,1830,1830,1830,11025566250,11025566250,1997-11-25
600105.XSHG,永鼎股份,15.22,1831,1831,1831,472496484,380954609,1997-09-29
600106.XSHG,重庆路桥,8.12,1832,1832,1832,907742031,907742031,1997-06-18
600107.XSHG,美尔雅,18.44,1833,1833,1833,360000000,360000000,1997-11-06
600108.XSHG,亚盛集团,5.69,1834,1834,1834,1946915156,1946915156,1997-08-18
600109.XSHG,国金证券,14.61,1835,1835,1835,3024359375,2836859375,1997-08-07
600110.XSHG,诺德股份,6.75,1836,1836,1836,1150312109,1150312109,1997-10-07
600111.XSHG,北方稀土,13.21,1837,1837,1837,3633065937,2219204843,1997-09-24
600112.XSHG,天成控股,12.01,1838,1838,1838,509204804,509204804,1997-11-27
600113.XSHG,浙江东日,12.4,1839,1839,1839,318600000,318600000,1997-10-21
600114.XSHG,东睦股份,14.69,1840,1840,1840,390765507,371215507,2004-05-11
600115.XSHG,东方航空,6.11,1841,1841,1841,13140178750,12441313750,1997-11-05
600116.XSHG,三峡水利,30.31,1842,1842,1842,331001796,296001796,1997-08-04
600117.XSHG,西宁特钢,6.53,1843,1843,1843,741219296,741219296,1997-10-15
600118.XSHG,中国卫星,36.22,1844,1844,1844,1182489062,1182489062,1997-09-08
600119.XSHG,长江投资,17.43,1845,1845,1845,307400000,307400000,1998-01-15
600120.XSHG,浙江东方,19.86,1846,1846,1846,505473515,505473515,1997-12-01
600121.XSHG,郑州煤电,4.99,1847,1847,1847,1015343437,1015343437,1998-01-07
600122.XSHG,宏图高科,19.42,1848,1848,1848,1150198437,1146473437,1998-04-20
600123.XSHG,兰花科创,7.69,1849,1849,1849,1142400000,1142400000,1998-12-17
600125.XSHG,铁龙物流,7.05,1850,1850,1850,1305521875,1305521875,1998-05-11
