代码,名称,收盘价,净值,总股本,流通股本,上市时间
160505.XSHE,博时主题,1.851,1.8410,111137840,0,2005-02-22
160512.XSHE,博时卓越,1.798,1.7990,29047105,0,2011-06-30
160513.XSHE,稳健债A,1.434,1.4380,12409234,0,2014-07-01
160515.XSHE,安丰18,1.164,1.0980,6527814,0,2013-10-17
160607.XSHE,鹏华价值,0.617,0.6200,117001721,0,2006-09-18
160610.XSHE,鹏华动力,0.940,0.9420,65570544,0,2007-03-09
160611.XSHE,鹏华治理,0.882,0.8820,146632557,0,2007-07-18
160613.XSHE,鹏华创新,1.183,1.1780,1806275,0,2008-11-10
160615.XSHE,鹏华300,0.000,1.2040,8770833,0,2009-05-08
160616.XSHE,鹏华500,1.211,1.2200,10050648,0,2010-04-28
160617.XSHE,鹏华丰润,1.327,1.3280,7287456,0,2010-12-16
160618.XSHE,鹏华丰泽,1.109,1.1090,76473560,0,2014-12-25
160621.XSHE,鹏华丰和,0.000,1.1580,69446878,0,2013-01-09
160706.XSHE,嘉实 300,0.898,0.9007,719750596,0,2005-10-17
160716.XSHE,嘉实50,1.064,1.0573,39600730,0,2010-02-10
160717.XSHE,恒生H股,0.632,0.6406,484232063,0,2010-10-28
160719.XSHE,嘉实黄金,0.684,0.6930,161419722,0,2012-02-10
160720.XSHE,中期企债,1.185,1.1858,973520,0,2013-04-01
160805.XSHE,长盛同智,0.905,0.9097,57376171,0,2007-02-16
160806.XSHE,长盛同庆,1.194,1.2000,151172653,0,2015-08-06
160807.XSHE,长盛300,1.062,1.0620,2796459,0,2010-09-06
160810.XSHE,长盛同丰,1.176,1.1770,55076438,0,2014-07-11
160812.XSHE,长盛同益,1.350,1.3530,135180338,0,2014-06-04
160813.XSHE,长盛同盛,0.825,0.8270,324293308,0,2014-12-26
160910.XSHE,大成创新,0.952,0.9490,49308209,0,2007-10-25
160915.XSHE,大成景丰,0.000,1.1270,39159236,0,2013-12-02
160916.XSHE,优选LOF,1.968,1.9650,202081160,0,2012-12-28
160918.XSHE,大成小盘,1.823,1.8190,148495308,0,2014-04-30
160919.XSHE,大成产业,1.108,1.1070,319298719,0,2015-01-09
161005.XSHE,富国天惠,1.570,1.5618,46977675,0,2006-02-16
161010.XSHE,富国天丰,1.104,1.1040,803601246,0,2008-12-08
161015.XSHE,富国天盈,0.000,0.8930,28489164,0,2014-06-04
161017.XSHE,富国500,1.813,1.8150,1622726,0,2011-10-21
161019.XSHE,富国天锋,1.014,1.0150,147082017,0,2012-06-28
161033.XSHE,智能汽车,1.443,1.0040,30312852,0,2016-02-29
161115.XSHE,易基岁丰,0.000,1.7310,29136363,0,2010-12-03
161116.XSHE,易基黄金,0.695,0.7010,149638758,0,2011-11-08
161117.XSHE,易基永旭,1.095,1.0930,6438550,0,2012-07-18
161119.XSHE,易基综债,0.000,1.2065,9919924,0,2013-01-09
161210.XSHE,国投新兴,0.748,0.7570,9542375,0,2010-07-01
161213.XSHE,国投消费,1.213,1.2220,928422,0,2011-01-20
